SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;
1513353105.122426;1513353105.122426;1513353105.122553;
1513353107.122886;1513353107.122886;1513353107.12294;
1513353109.123223;1513353109.123223;1513353109.123272;
1513353111.123519;1513353111.123519;1513353111.123559;
1513353113.123816;1513353113.123816;1513353113.12386;
1513353115.124153;1513353115.124153;1513353115.124214;
1513353117.124457;1513353117.124457;1513353117.124496;
1513353119.124737;1513353119.124737;1513353119.124775;
1513353121.124964;1513353121.124964;1513353121.125004;
1513353123.125242;1513353123.125242;1513353123.125281;
1513353125.125503;1513353125.125503;1513353125.125544;
1513353127.125982;1513353127.125982;1513353127.126021;
1513353129.126265;1513353129.126265;1513353129.126313;
1513353131.126656;1513353131.126656;1513353131.126695;
1513353133.126956;1513353133.126956;1513353133.127021;
1513353135.127346;1513353135.127346;1513353135.127414;
1513353137.127832;1513353137.127832;1513353137.127899;
1513353139.128269;1513353139.128269;1513353139.128332;
1513353141.129095;1513353141.129095;1513353141.129136;
1513353143.129736;1513353143.129736;1513353143.129805;
1513353145.13006;1513353145.13006;1513353145.130103;
1513353147.130409;1513353147.130409;1513353147.130476;
1513353149.130739;1513353149.130739;1513353149.130779;
