SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;vehicleID;plannedTrajectory;velocity;distanceToIntersection;
1513353121.714206;1513353121.715325;1513353121.715395;120;NS;8.459853355384293;97.39942765627264;
1513353121.714206;1513353121.716869;1513353121.716938;120;NS;8.459853355384293;97.39942765627264;
1513353122.714226;1513353122.715387;1513353122.715749;120;NS;8.432367160427923;88.95296264424458;
1513353122.714226;1513353122.716307;1513353122.716365;120;NS;8.432367160427923;88.95296264424458;
1513353123.714235;1513353123.71492;1513353123.714976;120;NS;7.345186994387499;80.92103328159278;
1513353123.714235;1513353123.71528;1513353123.715334;120;NS;7.345186994387499;80.92103328159278;
1513353124.714294;1513353124.715898;1513353124.715946;120;NS;6.174499655363574;74.21918458656999;
1513353124.714294;1513353124.716122;1513353124.71616;120;NS;6.174499655363574;74.21918458656999;
1513353125.714206;1513353125.715126;1513353125.715199;120;NS;5.011371796834438;68.60903048609521;
1513353125.714206;1513353125.716155;1513353125.716224;120;NS;5.011371796834438;68.60903048609521;
1513353126.71425;1513353126.715117;1513353126.715172;120;NS;4.939438356731138;63.68758790127043;
1513353126.71425;1513353126.715764;1513353126.715825;120;NS;4.939438356731138;63.68758790127043;
1513353127.714162;1513353127.71519;1513353127.715287;120;NS;4.942663034364033;58.69460026421865;
1513353127.714162;1513353127.715729;1513353127.715764;120;NS;4.942663034364033;58.69460026421865;
1513353128.714169;1513353128.715282;1513353128.715331;120;NS;4.942516578068548;53.80156229155014;
1513353128.714169;1513353128.716099;1513353128.716157;120;NS;4.942516578068548;53.80156229155014;
1513353129.714791;1513353129.716673;1513353129.716733;120;NS;4.942523790258603;48.80961166401048;
1513353129.714791;1513353129.717039;1513353129.717096;120;NS;4.942523790258603;48.80961166401048;
1513353130.714189;1513353130.714815;1513353130.714869;120;NS;5.142842215614009;43.8035622627979;
1513353130.714189;1513353130.715411;1513353130.715473;120;NS;5.142842215614009;43.8035622627979;
1513353131.714295;1513353131.715672;1513353131.715736;120;NS;5.731346107663981;38.37904795441631;
1513353131.714295;1513353131.718866;1513353131.718928;120;NS;5.731346107663981;38.37904795441631;
1513353132.714293;1513353132.715824;1513353132.715876;120;NS;6.401979023093522;32.31874556002242;
1513353132.714293;1513353132.716045;1513353132.716348;120;NS;6.401979023093522;32.31874556002242;
1513353133.714208;1513353133.717396;1513353133.717446;120;NS;7.183208131389433;25.53514691392706;
1513353133.714208;1513353133.717609;1513353133.717659;120;NS;7.183208131389433;25.53514691392706;
1513353134.714476;1513353134.715283;1513353134.715342;120;NS;8.258934988812387;17.85556671172552;
1513353134.714476;1513353134.715845;1513353134.715901;120;NS;8.258934988812387;17.85556671172552;
1513353135.71421;1513353135.71531;1513353135.715358;120;NS;9.381012140737877;9.107147204450143;
1513353135.71421;1513353135.715566;1513353135.71562;120;NS;9.381012140737877;9.107147204450143;
