SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;vehicleID;time.seconds;time.microseconds;timeSlot;
1513353121.719898;1513353121.719898;1513353121.719955;120;1513353132;717572;3;
1513353126.716716;1513353126.716716;1513353126.716773;120;1513353132;717572;2;
1513353127.546126;1513353127.546126;1513353127.546163;120;1513353132;717572;2;
1513353127.546262;1513353127.546262;1513353127.546304;123;1513353134;545764;3;
1513353127.801955;1513353127.801955;1513353127.802014;120;1513353132;717572;2;
1513353127.803766;1513353127.803766;1513353127.803827;122;1513353135;801473;2;
1513353127.80395;1513353127.80395;1513353127.804012;123;1513353134;545764;3;
1513353128.624421;1513353128.624421;1513353128.624485;120;1513353132;717572;2;
1513353128.624576;1513353128.624576;1513353128.624643;122;1513353135;801473;2;
1513353128.624752;1513353128.624752;1513353128.624814;123;1513353134;545764;3;
1513353128.624902;1513353128.624902;1513353128.624962;121;1513353136;623867;3;
1513353131.719621;1513353131.719621;1513353131.719686;120;1513353132;717572;1;
1513353131.719788;1513353131.719788;1513353131.719851;122;1513353135;801473;1;
1513353131.719978;1513353131.719978;1513353131.720038;123;1513353134;545764;2;
1513353131.720137;1513353131.720137;1513353131.7202;121;1513353136;623867;2;
1513353137.546598;1513353137.546598;1513353137.546665;120;1513353132;717572;0;
1513353137.546754;1513353137.546754;1513353137.546815;122;1513353135;801473;0;
1513353137.546936;1513353137.546936;1513353137.546979;123;1513353134;545764;1;
1513353137.547054;1513353137.547054;1513353137.547114;121;1513353136;623867;1;
